epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,7.216,1.72561,3.0799,2.10596,0.43406,0.75,0.74291,0.37866,2.07941,2.02707,1.98887,1.43509e-05,1.43509e-05,1.43509e-05
16,7.7216,1.20744,1.84851,1.7293,0.39635,0.75,0.74288,0.3772,2.11346,2.03868,2.00572,1.51993e-05,1.51993e-05,1.51993e-05
17,8.22381,1.0888,1.88273,1.6268,0.40888,0.75,0.74176,0.38254,2.09884,2.0824,2.01883,1.60241e-05,1.60241e-05,1.60241e-05
18,8.71252,0.99244,2.09173,1.54241,0.40888,0.75,0.74176,0.38254,2.09884,2.0824,2.01883,1.68253e-05,1.68253e-05,1.68253e-05
19,9.21767,0.88277,1.67528,1.39184,0.43492,0.75,0.73824,0.37089,2.07807,2.15964,2.01365,1.7603e-05,1.7603e-05,1.7603e-05
20,9.706,1.36319,2.03025,1.8224,0.43492,0.75,0.73824,0.37089,2.07807,2.15964,2.01365,1.83571e-05,1.83571e-05,1.83571e-05
21,10.2178,1.31177,2.08723,1.72077,0.47137,0.75,0.73761,0.35958,2.08071,2.26561,2.05389,1.90876e-05,1.90876e-05,1.90876e-05
22,10.7075,1.01263,1.51531,1.33641,0.47137,0.75,0.73761,0.35958,2.08071,2.26561,2.05389,1.97946e-05,1.97946e-05,1.97946e-05
23,11.2296,1.39193,2.4005,1.81872,0.49914,0.73815,0.73375,0.35173,2.08472,2.34384,2.07494,2.0478e-05,2.0478e-05,2.0478e-05
24,11.7226,1.27113,1.82182,1.69472,0.49914,0.73815,0.73375,0.35173,2.08472,2.34384,2.07494,2.11379e-05,2.11379e-05,2.11379e-05
25,12.2247,1.69482,3.33228,2.03046,0.51984,0.40591,0.73382,0.34982,2.12086,2.42493,2.12965,2.17741e-05,2.17741e-05,2.17741e-05
26,12.7184,1.16583,1.53691,1.60117,0.51984,0.40591,0.73382,0.34982,2.12086,2.42493,2.12965,2.23869e-05,2.23869e-05,2.23869e-05
27,13.2232,1.20694,1.60094,1.7134,0.69361,0.4,0.72953,0.35677,2.25342,2.43015,2.20259,2.2976e-05,2.2976e-05,2.2976e-05
28,13.7123,1.02491,1.18708,1.4009,0.69361,0.4,0.72953,0.35677,2.25342,2.43015,2.20259,2.35417e-05,2.35417e-05,2.35417e-05
29,14.2253,1.27889,1.76388,1.76978,0.70426,0.4,0.73803,0.34908,2.27697,2.42921,2.21323,2.40837e-05,2.40837e-05,2.40837e-05
30,14.721,1.18938,1.34539,1.75307,0.70426,0.4,0.73803,0.34908,2.27697,2.42921,2.21323,2.46022e-05,2.46022e-05,2.46022e-05
31,15.2233,1.62725,1.98661,2.04552,0.83347,0.36896,0.72778,0.3555,2.34174,2.50078,2.22897,2.50971e-05,2.50971e-05,2.50971e-05
32,15.7085,1.33388,1.80531,1.95903,0.83347,0.36896,0.72778,0.3555,2.34174,2.50078,2.22897,2.55685e-05,2.55685e-05,2.55685e-05
33,16.2102,1.26732,1.7092,1.56128,0.82619,0.36768,0.72436,0.31818,2.33923,2.59432,2.21598,2.60163e-05,2.60163e-05,2.60163e-05
34,16.6986,1.2276,1.9756,1.78152,0.82619,0.36768,0.72436,0.31818,2.33923,2.59432,2.21598,2.64405e-05,2.64405e-05,2.64405e-05
35,17.2013,1.19181,1.29203,1.67717,0.81411,0.34928,0.61275,0.2177,2.37217,2.7181,2.24014,2.68412e-05,2.68412e-05,2.68412e-05
36,17.6922,1.27483,1.48076,1.72639,0.81411,0.34928,0.61275,0.2177,2.37217,2.7181,2.24014,2.72183e-05,2.72183e-05,2.72183e-05
37,18.204,1.14826,1.08979,1.58585,0.79617,0.26773,0.46702,0.20742,2.37778,2.85767,2.26618,2.75718e-05,2.75718e-05,2.75718e-05
38,18.6952,0.56395,0.73516,1.01901,0.79617,0.26773,0.46702,0.20742,2.37778,2.85767,2.26618,2.79018e-05,2.79018e-05,2.79018e-05
39,19.2031,0.83679,1.10911,1.31609,0.79283,0.26667,0.46198,0.20189,2.36073,2.9826,2.32123,2.82082e-05,2.82082e-05,2.82082e-05
40,19.6909,0.97739,1.11281,1.4409,0.79283,0.26667,0.46198,0.20189,2.36073,2.9826,2.32123,2.84911e-05,2.84911e-05,2.84911e-05
41,20.1949,0.88124,1.15517,1.30987,0.78864,0.26667,0.43042,0.17332,2.37092,3.09069,2.35793,2.87504e-05,2.87504e-05,2.87504e-05
42,20.6849,0.87582,0.86478,1.35996,0.78864,0.26667,0.43042,0.17332,2.37092,3.09069,2.35793,2.89861e-05,2.89861e-05,2.89861e-05
43,21.1905,1.46488,1.4507,1.90184,0.78886,0.26667,0.39935,0.16696,2.36364,3.19491,2.34679,2.91983e-05,2.91983e-05,2.91983e-05
44,21.6767,1.1939,1.17925,1.54952,0.78886,0.26667,0.39935,0.16696,2.36364,3.19491,2.34679,2.93869e-05,2.93869e-05,2.93869e-05
45,22.1797,0.84075,1.04878,1.32214,0.75776,0.26667,0.3636,0.15975,2.3293,3.34153,2.36255,2.9552e-05,2.9552e-05,2.9552e-05
46,22.6653,1.11548,1.26727,1.5192,0.75776,0.26667,0.3636,0.15975,2.3293,3.34153,2.36255,2.96935e-05,2.96935e-05,2.96935e-05
47,23.1729,0.90684,1.4636,1.4502,0.71814,0.26667,0.36578,0.1523,2.33031,3.37216,2.31194,2.98114e-05,2.98114e-05,2.98114e-05
48,23.6595,0.92265,0.87046,1.42316,0.71814,0.26667,0.36578,0.1523,2.33031,3.37216,2.31194,2.99058e-05,2.99058e-05,2.99058e-05
49,24.1618,1.31952,1.06506,1.69146,0.72252,0.26667,0.36426,0.13787,2.26004,3.52838,2.31466,2.99766e-05,2.99766e-05,2.99766e-05
50,24.6484,0.92875,0.94196,1.48827,0.72252,0.26667,0.36426,0.13787,2.26004,3.52838,2.31466,3.00238e-05,3.00238e-05,3.00238e-05
51,25.1519,0.93477,0.81067,1.5516,0.73777,0.26667,0.36152,0.12808,2.25896,3.63527,2.33912,3.00475e-05,3.00475e-05,3.00475e-05
52,25.6378,0.91977,1.24047,1.37091,0.73777,0.26667,0.36152,0.12808,2.25896,3.63527,2.33912,3.00476e-05,3.00476e-05,3.00476e-05
53,26.1257,1.10161,1.30214,1.53742,0.73777,0.26667,0.36152,0.12808,2.25896,3.63527,2.33912,3.00242e-05,3.00242e-05,3.00242e-05
54,26.6306,0.79515,0.9402,1.28198,0.71599,0.26667,0.35755,0.12884,2.19086,3.65022,2.25914,2.99772e-05,2.99772e-05,2.99772e-05
55,27.1184,0.99187,1.24954,1.55342,0.71599,0.26667,0.35755,0.12884,2.19086,3.65022,2.25914,2.99066e-05,2.99066e-05,2.99066e-05
56,27.6049,1.10822,0.91372,1.68509,0.71599,0.26667,0.35755,0.12884,2.19086,3.65022,2.25914,2.98125e-05,2.98125e-05,2.98125e-05
57,28.1074,0.76106,0.78089,1.38285,0.70339,0.26667,0.32274,0.10636,2.1916,3.68014,2.25138,2.96948e-05,2.96948e-05,2.96948e-05
58,28.5889,1.13989,1.30703,1.64741,0.70339,0.26667,0.32274,0.10636,2.1916,3.68014,2.25138,2.95535e-05,2.95535e-05,2.95535e-05
59,29.0707,1.00454,0.93457,1.55627,0.70339,0.26667,0.32274,0.10636,2.1916,3.68014,2.25138,2.93887e-05,2.93887e-05,2.93887e-05
60,29.5805,0.99868,0.87809,1.57753,0.75735,0.27463,0.31852,0.11627,2.18886,3.71937,2.25849,2.92003e-05,2.92003e-05,2.92003e-05
61,30.0709,0.9063,0.84789,1.43425,0.75735,0.27463,0.31852,0.11627,2.18886,3.71937,2.25849,2.89884e-05,2.89884e-05,2.89884e-05
62,30.5557,1.32247,1.3015,1.69208,0.75735,0.27463,0.31852,0.11627,2.18886,3.71937,2.25849,2.87529e-05,2.87529e-05,2.87529e-05
63,31.0574,1.03986,0.88445,1.64865,0.76141,0.27023,0.31487,0.11343,2.21466,3.73476,2.2435,2.84938e-05,2.84938e-05,2.84938e-05
64,31.5403,0.58697,0.77253,1.05757,0.76141,0.27023,0.31487,0.11343,2.21466,3.73476,2.2435,2.82112e-05,2.82112e-05,2.82112e-05
65,32.0242,0.73581,0.67149,1.19274,0.76141,0.27023,0.31487,0.11343,2.21466,3.73476,2.2435,2.7905e-05,2.7905e-05,2.7905e-05
66,32.5324,1.08312,1.49681,1.58884,0.74567,0.27862,0.31312,0.11243,2.19525,3.78342,2.21347,2.75753e-05,2.75753e-05,2.75753e-05
67,33.0232,0.99219,0.88132,1.45364,0.74567,0.27862,0.31312,0.11243,2.19525,3.78342,2.21347,2.7222e-05,2.7222e-05,2.7222e-05
68,33.5073,0.64991,0.72728,1.16292,0.74567,0.27862,0.31312,0.11243,2.19525,3.78342,2.21347,2.68451e-05,2.68451e-05,2.68451e-05
69,34.0126,1.74792,1.77215,2.22882,0.72591,0.28333,0.31458,0.11432,2.20214,3.81425,2.2161,2.64447e-05,2.64447e-05,2.64447e-05
70,34.5054,1.0008,0.96647,1.6851,0.72591,0.28333,0.31458,0.11432,2.20214,3.81425,2.2161,2.60207e-05,2.60207e-05,2.60207e-05
71,34.997,0.829,0.75167,1.52426,0.72591,0.28333,0.31458,0.11432,2.20214,3.81425,2.2161,2.55731e-05,2.55731e-05,2.55731e-05
72,35.5074,0.86161,1.00514,1.4594,0.52842,0.28333,0.31277,0.12012,2.21666,3.87762,2.20573,2.5102e-05,2.5102e-05,2.5102e-05
73,35.9936,0.95774,0.86146,1.54244,0.52842,0.28333,0.31277,0.12012,2.21666,3.87762,2.20573,2.46073e-05,2.46073e-05,2.46073e-05
74,36.4887,1.839,1.94273,2.19615,0.52842,0.28333,0.31277,0.12012,2.21666,3.87762,2.20573,2.40891e-05,2.40891e-05,2.40891e-05
75,37.0025,0.81158,0.79915,1.24272,0.32024,0.3,0.31426,0.11729,2.25345,3.8211,2.16816,2.35472e-05,2.35472e-05,2.35472e-05
76,37.4873,1.3403,1.29392,1.94975,0.32024,0.3,0.31426,0.11729,2.25345,3.8211,2.16816,2.29819e-05,2.29819e-05,2.29819e-05
77,37.9753,0.69468,0.58192,1.23956,0.32024,0.3,0.31426,0.11729,2.25345,3.8211,2.16816,2.23929e-05,2.23929e-05,2.23929e-05
78,38.483,0.81531,0.77307,1.33722,0.04684,0.43333,0.31032,0.11738,2.24539,3.91957,2.1869,2.17805e-05,2.17805e-05,2.17805e-05
79,38.9705,1.34241,1.48852,1.87264,0.04684,0.43333,0.31032,0.11738,2.24539,3.91957,2.1869,2.11444e-05,2.11444e-05,2.11444e-05
80,39.461,0.64357,0.76716,1.27873,0.04684,0.43333,0.31032,0.11738,2.24539,3.91957,2.1869,2.04848e-05,2.04848e-05,2.04848e-05
81,39.9727,0.84887,0.62946,1.28135,0.04357,0.43333,0.31017,0.1155,2.25566,3.96814,2.19957,1.98016e-05,1.98016e-05,1.98016e-05
82,40.4661,0.45462,0.48268,0.98165,0.04357,0.43333,0.31017,0.1155,2.25566,3.96814,2.19957,1.90949e-05,1.90949e-05,1.90949e-05
83,40.9558,0.66458,0.67852,1.15776,0.04357,0.43333,0.31017,0.1155,2.25566,3.96814,2.19957,1.83646e-05,1.83646e-05,1.83646e-05
84,41.4627,1.08682,1.12739,1.70188,0.04277,0.43333,0.31467,0.11704,2.25276,3.98315,2.20215,1.76107e-05,1.76107e-05,1.76107e-05
85,41.9574,0.92829,0.77541,1.54789,0.04277,0.43333,0.31467,0.11704,2.25276,3.98315,2.20215,1.68333e-05,1.68333e-05,1.68333e-05
86,42.4436,1.03771,0.98146,1.69681,0.04277,0.43333,0.31467,0.11704,2.25276,3.98315,2.20215,1.60323e-05,1.60323e-05,1.60323e-05
87,42.9289,0.7055,0.59234,1.26098,0.04277,0.43333,0.31467,0.11704,2.25276,3.98315,2.20215,1.52077e-05,1.52077e-05,1.52077e-05
88,43.4395,0.7939,0.76155,1.28243,0.04273,0.43333,0.32025,0.11577,2.22276,3.96111,2.19663,1.43596e-05,1.43596e-05,1.43596e-05
89,43.9271,0.861,0.98258,1.48343,0.04273,0.43333,0.32025,0.11577,2.22276,3.96111,2.19663,1.34879e-05,1.34879e-05,1.34879e-05
90,44.4138,0.68685,0.58273,1.17727,0.04273,0.43333,0.32025,0.11577,2.22276,3.96111,2.19663,1.25927e-05,1.25927e-05,1.25927e-05
91,45.3922,1.25305,1.04899,1.48778,0.04273,0.43333,0.32025,0.11577,2.22276,3.96111,2.19663,1.16739e-05,1.16739e-05,1.16739e-05
92,45.9856,0.81959,0.72041,1.15699,0.04154,0.43333,0.31424,0.11367,2.21595,3.95691,2.19216,1.07315e-05,1.07315e-05,1.07315e-05
93,46.4874,0.73445,0.77361,1.23043,0.04154,0.43333,0.31424,0.11367,2.21595,3.95691,2.19216,9.76562e-06,9.76562e-06,9.76562e-06
94,46.9848,1.11371,0.90503,1.48358,0.04154,0.43333,0.31424,0.11367,2.21595,3.95691,2.19216,8.77613e-06,8.77613e-06,8.77613e-06
95,47.4824,1.00561,0.92842,1.41985,0.04154,0.43333,0.31424,0.11367,2.21595,3.95691,2.19216,7.76308e-06,7.76308e-06,7.76308e-06
96,47.9964,1.53309,1.46572,1.78915,0.78036,0.1,0.30354,0.10162,2.21099,3.81176,2.14676,6.72648e-06,6.72648e-06,6.72648e-06
97,48.4984,0.64997,0.81869,1.16556,0.78036,0.1,0.30354,0.10162,2.21099,3.81176,2.14676,5.6663e-06,5.6663e-06,5.6663e-06
98,48.9904,1.041,0.87803,1.45018,0.78036,0.1,0.30354,0.10162,2.21099,3.81176,2.14676,4.58257e-06,4.58257e-06,4.58257e-06
99,49.4816,1.13058,0.93058,1.55033,0.78036,0.1,0.30354,0.10162,2.21099,3.81176,2.14676,3.47528e-06,3.47528e-06,3.47528e-06
100,49.9932,0.77636,0.86461,1.27075,0.84734,0.1,0.30463,0.10284,2.17919,3.73007,2.10817,2.34442e-06,2.34442e-06,2.34442e-06
