epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.511274,1.66818,4.36359,2.06273,0.48739,0.85,0.83175,0.39916,1.98525,1.89187,1.96886,0,0,0
2,1.06025,1.56115,3.58589,1.99942,0.47031,0.83333,0.84222,0.39769,1.99681,1.88027,1.97298,1.17822e-06,1.17822e-06,1.17822e-06
3,1.49283,1.55249,3.42138,1.98017,0.48685,0.83333,0.77223,0.37168,2.01118,1.88801,1.98285,2.33288e-06,2.33288e-06,2.33288e-06
4,1.91643,1.79575,4.32556,2.45651,0.49207,0.83333,0.77388,0.38106,2.04279,1.88025,2.00085,3.46397e-06,3.46397e-06,3.46397e-06
5,2.32984,2.01604,3.81536,2.58659,0.46257,0.85,0.77235,0.38001,2.05505,1.91158,2.01596,4.5715e-06,4.5715e-06,4.5715e-06
6,2.74038,1.19902,2.95613,1.65006,0.46259,0.85,0.77297,0.36844,2.06245,1.95067,2.03509,5.65548e-06,5.65548e-06,5.65548e-06
7,3.18136,1.91279,4.88917,2.28328,0.45621,0.85,0.77045,0.38925,2.06534,1.95012,2.01931,6.71588e-06,6.71588e-06,6.71588e-06
8,3.68516,2.48753,6.14086,2.84125,0.44376,0.83114,0.76952,0.38863,2.06741,1.94878,2.02317,7.75273e-06,7.75273e-06,7.75273e-06
9,4.18821,1.58884,3.72251,2.11014,0.40934,0.76667,0.76641,0.38909,2.05621,1.94677,2.00859,8.76602e-06,8.76602e-06,8.76602e-06
10,4.69532,1.38349,3.5088,1.94156,0.39965,0.76667,0.76815,0.38454,2.0449,1.97973,1.98487,9.75574e-06,9.75574e-06,9.75574e-06
11,5.20379,1.64191,3.44667,2.20291,0.39935,0.76667,0.76731,0.37183,2.03483,1.97525,1.97486,1.07219e-05,1.07219e-05,1.07219e-05
12,5.70526,1.17847,2.83939,1.77077,0.39439,0.75,0.74516,0.37686,2.04145,1.98768,1.96816,1.16645e-05,1.16645e-05,1.16645e-05
13,6.20984,2.38825,4.82135,3.17987,0.39174,0.75,0.74303,0.37306,2.05748,2.00783,1.97979,1.25835e-05,1.25835e-05,1.25835e-05
14,6.7123,1.916,3.82765,2.26342,0.4271,0.75,0.74265,0.37982,2.07426,2.02458,1.98446,1.3479e-05,1.3479e-05,1.3479e-05
