epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,15.3369,0.70232,0.79656,1.16061,0.70304,0.65,0.85073,0.53069,1.5776,1.48463,1.33913,2.82082e-05,2.82082e-05,2.82082e-05
40,15.7224,0.78034,0.99517,1.17176,0.70304,0.65,0.85073,0.53069,1.5776,1.48463,1.33913,2.84911e-05,2.84911e-05,2.84911e-05
41,16.1232,0.76455,1.13311,1.11419,0.69187,0.65,0.84661,0.52371,1.57023,1.53508,1.34032,2.87504e-05,2.87504e-05,2.87504e-05
42,16.5189,0.92522,1.08501,1.19915,0.69187,0.65,0.84661,0.52371,1.57023,1.53508,1.34032,2.89861e-05,2.89861e-05,2.89861e-05
43,16.9282,0.94021,1.01241,1.41746,0.79157,0.64579,0.84745,0.52762,1.55574,1.59593,1.33946,2.91983e-05,2.91983e-05,2.91983e-05
44,17.3092,0.69154,0.93193,1.08892,0.79157,0.64579,0.84745,0.52762,1.55574,1.59593,1.33946,2.93869e-05,2.93869e-05,2.93869e-05
45,17.7105,0.68038,1.45955,1.1094,0.80285,0.62819,0.70946,0.38633,1.58374,1.65304,1.35535,2.9552e-05,2.9552e-05,2.9552e-05
46,18.0961,0.85948,1.01502,1.25642,0.80285,0.62819,0.70946,0.38633,1.58374,1.65304,1.35535,2.96935e-05,2.96935e-05,2.96935e-05
47,18.4987,0.88553,0.72249,1.25888,0.79634,0.63764,0.70369,0.38285,1.56381,1.68636,1.35044,2.98114e-05,2.98114e-05,2.98114e-05
48,18.8811,0.77706,1.03179,1.14779,0.79634,0.63764,0.70369,0.38285,1.56381,1.68636,1.35044,2.99058e-05,2.99058e-05,2.99058e-05
49,19.2802,1.01246,1.09663,1.38284,0.71609,0.65,0.70836,0.38086,1.58614,1.70719,1.36065,2.99766e-05,2.99766e-05,2.99766e-05
50,19.6737,0.65781,0.87355,1.10226,0.71609,0.65,0.70836,0.38086,1.58614,1.70719,1.36065,3.00238e-05,3.00238e-05,3.00238e-05
51,20.0847,0.71581,0.90915,1.21296,0.76271,0.65,0.68485,0.3703,1.64343,1.81291,1.38353,3.00475e-05,3.00475e-05,3.00475e-05
52,20.4813,0.82452,1.66526,1.17975,0.76271,0.65,0.68485,0.3703,1.64343,1.81291,1.38353,3.00476e-05,3.00476e-05,3.00476e-05
53,20.8679,0.61725,1.02015,1.07457,0.76271,0.65,0.68485,0.3703,1.64343,1.81291,1.38353,3.00242e-05,3.00242e-05,3.00242e-05
54,21.2772,0.72856,0.97995,1.10883,0.76337,0.65,0.68487,0.37018,1.64243,1.90602,1.38758,2.99772e-05,2.99772e-05,2.99772e-05
55,21.6651,0.68646,1.17555,1.16146,0.76337,0.65,0.68487,0.37018,1.64243,1.90602,1.38758,2.99066e-05,2.99066e-05,2.99066e-05
56,22.0583,0.68801,0.84689,1.23115,0.76337,0.65,0.68487,0.37018,1.64243,1.90602,1.38758,2.98125e-05,2.98125e-05,2.98125e-05
57,22.4603,0.72945,0.70658,1.21316,0.80061,0.48333,0.68462,0.3688,1.63727,1.91354,1.38827,2.96948e-05,2.96948e-05,2.96948e-05
58,22.8556,0.75742,1.07426,1.19159,0.80061,0.48333,0.68462,0.3688,1.63727,1.91354,1.38827,2.95535e-05,2.95535e-05,2.95535e-05
59,23.2555,0.72343,0.71595,1.23109,0.80061,0.48333,0.68462,0.3688,1.63727,1.91354,1.38827,2.93887e-05,2.93887e-05,2.93887e-05
60,23.6608,0.78428,1.00917,1.31392,0.79614,0.48333,0.68564,0.36288,1.70367,1.94203,1.42171,2.92003e-05,2.92003e-05,2.92003e-05
61,24.0549,0.58792,0.67049,1.05838,0.79614,0.48333,0.68564,0.36288,1.70367,1.94203,1.42171,2.89884e-05,2.89884e-05,2.89884e-05
62,24.443,0.83818,0.96946,1.37572,0.79614,0.48333,0.68564,0.36288,1.70367,1.94203,1.42171,2.87529e-05,2.87529e-05,2.87529e-05
63,24.8467,0.68343,0.84488,1.17577,0.81151,0.48333,0.56279,0.27616,1.69715,1.98563,1.41537,2.84938e-05,2.84938e-05,2.84938e-05
64,25.2345,0.79098,0.76532,1.0709,0.81151,0.48333,0.56279,0.27616,1.69715,1.98563,1.41537,2.82112e-05,2.82112e-05,2.82112e-05
65,25.6226,0.63439,0.69542,1.0433,0.81151,0.48333,0.56279,0.27616,1.69715,1.98563,1.41537,2.7905e-05,2.7905e-05,2.7905e-05
66,26.0332,0.90921,2.00473,1.32259,0.79592,0.48333,0.546,0.26624,1.64148,2.04967,1.39726,2.75753e-05,2.75753e-05,2.75753e-05
67,26.4288,0.75079,0.86521,1.1585,0.79592,0.48333,0.546,0.26624,1.64148,2.04967,1.39726,2.7222e-05,2.7222e-05,2.7222e-05
68,26.8187,0.63764,0.78852,1.0367,0.79592,0.48333,0.546,0.26624,1.64148,2.04967,1.39726,2.68451e-05,2.68451e-05,2.68451e-05
